Ticker,Company,Industry,Institutional Ownership,Market Cap ($M),PB Ratio,PS Ratio,Operating Margin %,Net Margin %,Price,Avg Daily TradeVolume
CSGS,CSG Systems International Inc,Software,14.83,"1,700.04",4.46,1.7,13.16,8.2,$51.60 ,"272,198"
CSIQ,Canadian Solar Inc,Semiconductors,63.04,"1,322.71",1.03,0.41,7.87,6.77,$22.32 ,"1,072,703"
CSL,Carlisle Companies Inc,Construction,72.11,"9,189.60",3.43,1.97,13.23,9.66,$162.15 ,"394,699"
CSLT,Castlight Health Inc,Healthcare Providers & Services,86.16,192.95,1.07,1.27,-22.08,-21.68,$1.32 ,"826,007"
CSTE,Caesarstone Ltd,Construction,59.11,513.86,1.06,0.94,6.72,2.61,$14.94 ,"106,369"
CSTL,Castle Biosciences Inc,Medical Diagnostics & Research,19.8,488.14,5.92,7.9,20.77,15.53,$28.59 ,"115,050"
CSV,Carriage Services Inc,Personal Services,99.92,459.55,2.06,1.73,17.32,3.45,$25.78 ,"108,732"
CSWI,CSW Industrials Inc,Industrial Products,99.45,"1,168.97",4.07,3.18,17.69,11.47,$77.68 ,"55,855"
CSX,CSX Corp,Transportation,99.82,"56,666.92",4.79,4.84,40.8,27.9,$72.87 ,"3,911,957"
CTAS,Cintas Corp,Business Services,94.56,"27,805.80",9.27,4.06,17.32,12.99,$268.13 ,"637,199"
CTB,Cooper Tire & Rubber Co,Vehicles & Parts,14.94,"1,434.26",1.18,0.52,6.38,1.61,$28.58 ,"287,870"
CTK,CooTek (Cayman) Inc,Software,1.33,311.69,6.47,2.03,-17.16,-16.9,$4.90 ,"41,321"
CTL,CenturyLink Inc,Telecommunication Services,99.43,"14,292.90",1.05,0.62,16.89,-34.96,$13.11 ,"12,189,143"
CTLT,Catalent Inc,Drug Manufacturers,12.9,"8,225.49",5,3.12,11.21,5.57,$56.22 ,"664,042"
CTO,Consolidated-Tomoka Land Co,Real Estate,99.47,290.49,1.46,3.97,44.09,39.32,$58.93 ,"25,480"
CTRA,Contura Energy Inc,Other Energy Sources,90.08,162.11,0.19,0.07,5.45,-0.8,$8.90 ,"334,136"
CTRN,Citi Trends Inc,Retail - Cyclical,97.52,265.14,1.51,0.35,2.17,1.87,$22.76 ,"80,092"
CTS,CTS Corp,Hardware,25.43,972.51,2.45,2.09,13.8,9.21,$29.83 ,"130,515"
CTSH,Cognizant Technology Solutions Corp,Software,78.56,"34,014.79",3.21,2.12,15.16,12.6,$62.12 ,"2,682,881"
CUB,Cubic Corp,Aerospace & Defense,98.15,"1,987.16",2.07,1.3,4.62,3.32,$63.54 ,"293,617"
CUBE,CubeSmart,REITs,62.99,"6,062.14",3.34,9.4,35.91,27.71,$31.32 ,"1,843,072"
CUK,Carnival PLC,Travel & Leisure,1.97,"34,302.72",1.31,1.6,15.97,14.61,$48.36 ,"365,495"
CULP,Culp Inc,Manufacturing - Apparel & Accessories,98.41,173.77,1.07,0.59,4.29,1.83,$14 ,"36,822"
CUZ,Cousins Properties Inc,REITs,62.71,"6,030.48",1.4,8.39,22.23,9.5,$41.09 ,"758,171"
CVA,Covanta Holding Corp,Waste Management,98.75,"1,959.66",5.18,1.05,5.73,0.37,$14.91 ,"874,157"
CVCO,Cavco Industries Inc,Homebuilding & Construction,97.4,"1,771.94",3.07,1.78,8.92,7.5,$194 ,"45,301"
CVE,Cenovus Energy Inc,Oil & Gas,99.06,"12,523.22",0.87,0.81,-2.81,3.5,$10.17 ,"3,225,431"
CVEO,Civeo Corp,Business Services,92.69,242.47,0.53,0.47,-5.81,-8.15,$1.43 ,"969,234"
CVET,Covetrus Inc,Healthcare Providers & Services,99.24,"1,475.55",1.11,0.35,0.02,-23.12,$13.16 ,"2,302,931"
CVGI,Commercial Vehicle Group Inc,Vehicles & Parts,97.13,200.28,1.41,0.21,6.84,3.82,$6.39 ,"180,640"
CVGW,Calavo Growers Inc,Consumer Packaged Goods,98.89,"1,660.41",5.84,1.4,5.77,3.06,$94.37 ,"152,818"
CVI,CVR Energy Inc,Oil & Gas,96.7,"4,125.78",2.9,0.63,10.5,6.74,$41.04 ,"482,850"
CVIA,Covia Holdings Corp,Oil & Gas,28.6,258.18,0.2,0.15,-3.55,-4.7,$1.96 ,"331,373"
CVLT,CommVault Systems Inc,Software,82.27,"2,039.64",5.44,2.98,2.76,-0.39,$44.62 ,"443,661"
CVS,CVS Health Corp,Healthcare Plans,66.72,"96,895.79",1.54,0.38,5,1.83,$74.48 ,"7,148,516"
CVTI,Covenant Transportation Group Inc,Transportation,87.9,235.01,0.67,0.25,3.71,2.55,$12.73 ,"112,923"
CVX,Chevron Corp,Oil & Gas,94.53,"228,039.18",1.46,1.56,9.13,9.11,$120.60 ,"5,992,918"
CW,Curtiss-Wright Corp,Industrial Products,98.64,"6,077.66",3.55,2.49,15.85,12.13,$142.37 ,"205,016"
CWCO,Consolidated Water Co Ltd,Utilities - Regulated,75.17,248.86,1.53,3.64,13.71,18.56,$16.56 ,"72,050"
CWEN,Clearway Energy Inc,Utilities - Independent Power Producers,46.68,"3,838.78",2.1,2.23,28.65,-7.12,$19.85 ,"663,291"
CWEN.A,Clearway Energy Inc,Utilities - Independent Power Producers,18.15,"3,840.32",2.1,2.23,28.65,-7.12,$18.96 ,"211,075"
CWK,Cushman & Wakefield PLC,Real Estate,89.5,"4,525.85",3.65,0.53,1.31,-0.24,$20.65 ,"1,305,072"
CWT,California Water Service Group,Utilities - Regulated,95.24,"2,448.65",3.24,3.49,17.13,9.52,$50.86 ,"238,943"
CX,Cemex SAB de CV,Building Materials,40.41,"5,784.86",0.58,1.89,11.74,3.81,$3.89 ,"5,451,539"
CXDC,China XD Plastics Co Ltd,Vehicles & Parts,3.78,132.82,0.15,0.07,9.82,5.45,$1.98 ,"68,385"
CXO,Concho Resources Inc,Oil & Gas,94.96,"17,300.54",0.94,3.88,20.71,28.98,$86.06 ,"1,705,723"
CXP,Columbia Property Trust Inc,REITs,54.54,"2,419.81",0.9,8.2,19.27,12.17,$20.70 ,"615,284"
CXW,CoreCivic Inc,REITs,56.67,"2,103.24",1.53,1.07,14.8,9.57,$17.66 ,"985,009"
CY,Cypress Semiconductor Corp,Semiconductors,19.65,"8,682.92",4.12,3.89,4.14,12.74,$23.43 ,"3,887,411"
CYBE,CyberOptics Corp,Hardware,68.54,126.59,2.21,2.14,3.08,2.97,$17.76 ,"26,959"
CYD,China Yuchai International Ltd,Industrial Products,27.72,547.49,0.46,0.23,5.94,3.5,$13.40 ,"46,018"
CYOU,Changyou.com Ltd,Interactive Media,34.04,521.32,1.44,1.12,30.69,20.72,$9.79 ,"248,891"
CZR,Caesars Entertainment Corp,Travel & Leisure,31.26,"9,256.91",3.87,1.05,12.07,-7.98,$13.60 ,"11,062,699"
CZZ,Cosan Ltd,Oil & Gas,31.41,"5,161.50",3.85,1.1,20.35,8.69,$23.27 ,"929,633"
D,Dominion Energy Inc,Utilities - Regulated,98.86,"67,530.34",2.42,4.03,20.93,6.4,$81.46 ,"3,131,277"
DAC,Danaos Corp,Transportation,19.77,144.51,0.18,0.32,46.49,-18.46,$9.40 ,"189,804"
DAKT,Daktronics Inc,Hardware,85.58,274.94,1.38,0.46,-0.89,0.03,$6.09 ,"175,507"
DAL,Delta Air Lines Inc,Transportation,99.66,"38,520.01",2.57,0.85,13.63,10.12,$59.56 ,"5,200,245"
DAN,Dana Inc,Vehicles & Parts,93.57,"2,645.37",1.48,0.31,7.54,2.8,$18.38 ,"1,193,376"
DAR,Darling Ingredients Inc,Consumer Packaged Goods,85.94,"4,582.27",1.98,1.4,2.82,3.3,$27.99 ,"1,066,200"
DBI,Designer Brands Inc,Retail - Cyclical,62.92,"1,114.23",1.53,0.33,3.19,1.6,$15.53 ,"1,846,699"
DBX,Dropbox Inc,Software,54.87,"7,384.44",9.64,4.61,-5.4,-3.49,$17.78 ,"4,113,696"
DCI,Donaldson Co Inc,Industrial Products,97.7,"7,325.32",8.18,2.67,13.43,9.18,$57.88 ,"449,595"
DCO,Ducommun Inc,Aerospace & Defense,98.12,583.13,2.05,0.86,7.33,3.47,$50.43 ,"82,927"
DCP,DCP Midstream LP,Oil & Gas,69.8,"5,341.58",0.53,0.44,4.64,1.32,$25.64 ,"1,043,295"
DD,DuPont de Nemours Inc,Chemicals,99.53,"47,211.61",1.15,0.49,11.14,0.81,$63.73 ,"4,343,211"
DDD,3D Systems Corp,Hardware,97.06,"1,062.23",2.05,1.58,-9.21,-10.74,$8.97 ,"1,456,449"
DDS,Dillard's Inc,Retail - Cyclical,94.93,"1,794.28",1.11,0.29,3.08,2,$72.64 ,"303,220"
DE,Deere & Co,Farm & Heavy Construction Machinery,98.11,"54,760.59",4.8,1.44,10.44,8.35,$174.80 ,"1,842,313"
DEA,Easterly Government Properties Inc,REITs,61.4,"1,752.63",1.66,7.39,16.51,3.04,$23.43 ,"695,862"
DECK,Deckers Outdoor Corp,Manufacturing - Apparel & Accessories,66.46,"4,677.61",5.11,2.35,16.39,13.36,$167.20 ,"430,154"
DEI,Douglas Emmett Inc,REITs,64.15,"7,643.48",3.12,8.15,27.12,12.05,$43.59 ,"789,382"
DEO,Diageo PLC,Beverages - Alcoholic,12.03,"101,590.04",9.35,6.12,31.41,24.56,$166.99 ,"306,165"
DESP,Despegar.com Corp,Travel & Leisure,77.31,941.59,4.97,1.9,-0.52,-2.98,$13.60 ,"266,631"
DFIN,Donnelley Financial Solutions Inc,Capital Markets,94.16,353.29,1.32,0.41,9.55,3.35,$10.30 ,"292,319"
DG,Dollar General Corp,Retail - Defensive,95.06,"39,541.93",6.02,1.48,8.15,6.09,$155.31 ,"2,007,393"
DGII,Digi International Inc,Hardware,99.98,502.8,1.41,1.96,3.93,3.92,$17.54 ,"175,374"
DGX,Quest Diagnostics Inc,Medical Diagnostics & Research,97.09,"14,343.91",2.57,1.92,14.3,9.58,$106.49 ,"860,555"
DHI,D.R. Horton Inc,Homebuilding & Construction,99.87,"19,551.80",1.95,1.13,11.77,9.2,$53.01 ,"4,287,245"
DHIL,Diamond Hill Investment Group Inc,Capital Markets,76.84,481.81,2.17,3.67,41.25,34.29,$142.37 ,"19,892"
DHR,Danaher Corp,Medical Diagnostics & Research,94.32,"106,264.80",3.55,5.4,16.66,12.13,$152.82 ,"11,055,176"
DHT,DHT Holdings Inc,Oil & Gas,64.42,"1,184.75",1.36,2.38,17.92,2.04,$8.07 ,"2,129,314"
DHX,DHI Group Inc,Business Services,95.69,164.39,1.09,1.05,13.13,8,$3.05 ,"183,958"
DHXM,WildBrain Ltd,Media - Diversified,47.08,201.5,0.96,0.49,19.37,-25.7,$1.11 ,"95,925"
DIOD,Diodes Inc,Semiconductors,96.15,"2,772.61",2.7,2.2,14.56,10.74,$54.32 ,"323,277"
DIS,The Walt Disney Co,Media - Diversified,89.11,"262,609.42",2.92,3.51,17.04,15.89,$145.70 ,"11,702,905"
DISCA,Discovery Inc,Media - Diversified,48.87,"16,728.40",1.82,2.15,29.68,16.81,$33.28 ,"4,036,144"
DISCK,Discovery Inc,Media - Diversified,79.28,"16,672.79",1.82,2.13,29.68,16.81,$30.93 ,"3,047,482"
DISH,DISH Network Corp,Media - Diversified,65.78,"18,905.60",1.76,1.48,14.28,10.46,$36.13 ,"2,253,957"
DK,Delek US Holdings Inc,Oil & Gas,98.63,"2,521.78",1.5,0.28,6.61,4.21,$33.97 ,"1,153,158"
DKS,Dick's Sporting Goods Inc,Retail - Cyclical,99.99,"4,191.33",2.34,0.5,4.85,3.82,$47.69 ,"2,384,289"
DL,China Distance Education Holdings Ltd,Education,23.48,286.96,3.75,1.39,11.5,10.03,$8.12 ,"60,353"
DLA,Delta Apparel Inc,Manufacturing - Apparel & Accessories,92.05,219.46,1.41,0.52,3.68,1.91,$31.40 ,"18,314"
DLB,Dolby Laboratories Inc,Media - Diversified,80.87,"6,859.61",2.98,5.75,23.65,20.55,$68.38 ,"341,742"
DLR,Digital Realty Trust Inc,REITs,82.36,"24,667.55",2.95,7.68,19.38,9.22,$118.11 ,"1,665,326"
DLTH,Duluth Holdings Inc,Retail - Cyclical,45.3,331.76,2.16,0.52,4.2,2.5,$10.20 ,"582,090"
DLTR,Dollar Tree Inc,Retail - Defensive,83.69,"21,791.86",3.57,0.94,6.78,-6.82,$92.08 ,"2,964,081"
DLX,Deluxe Corp,Media - Diversified,94.17,"2,111.40",4.02,1.1,14.9,-9.32,$50.15 ,"271,894"
DMLP,Dorchester Minerals LP,Oil & Gas,19.36,677.28,5.74,8.02,70.82,70.82,$19.53 ,"72,832"
DNR,Denbury Resources Inc,Oil & Gas,67.61,691.08,0.5,0.54,28.16,28.64,$1.43 ,"11,788,561"
DO,Diamond Offshore Drilling Inc,Oil & Gas,9.15,936.32,0.29,1.02,-28.62,-38.61,$6.80 ,"2,691,423"
DOC,Physicians Realty Trust,REITs,60.73,"3,512.56",1.48,8.74,24.1,10.85,$18.65 ,"1,435,459"
DOOR,Masonite International Corp,Construction,98,"1,799.75",3,0.86,7.66,2.55,$72.33 ,"164,667"
DORM,Dorman Products Inc,Vehicles & Parts,93.44,"2,447.57",3.17,2.43,12.7,9.96,$74.67 ,"176,724"
DOV,Dover Corp,Industrial Products,99.81,"16,821.83",5.57,2.37,13.84,9.08,$115.80 ,"879,355"
DOW,Dow Inc,Chemicals,97.63,"40,945.38",2.35,0.71,11.14,2.93,$55.22 ,"3,785,066"
DOX,Amdocs Ltd,Software,26.44,"9,792.71",2.82,2.44,13.94,11.73,$72.68 ,"701,784"
DOYU,DouYu International Holdings Ltd,Interactive Media,10.75,"2,759.27",2.65,2.74,-8.88,-6.1,$8.50 ,"1,165,050"
DPLO,Diplomat Pharmacy Inc,Drug Manufacturers,84.21,301.71,2.3,0.06,-0.18,-12.47,$3.97 ,"2,960,205"
DQ,Daqo New Energy Corp,Semiconductors,51.63,362.12,1.4,2.33,12.34,6.79,$51.51 ,"241,998"
DRD,DRDGold Ltd,Metals & Mining,10.81,359.3,1.9,1.84,4.53,2.84,$5.23 ,"101,780"
DRH,Diamondrock Hospitality Co,REITs,76.86,"2,230.20",1.25,2.47,11.91,7.95,$11.14 ,"2,364,330"
DRI,Darden Restaurants Inc,Restaurants,99.52,"13,352.53",5.92,1.57,10.08,7.23,$108.91 ,"1,247,813"
DRQ,Dril-Quip Inc,Oil & Gas,91.18,"1,730.87",1.58,4.25,-1.59,-19.96,$47.84 ,"298,532"
DRTT,Dirtt Environmental Solutions Ltd,Construction,43.65,268.34,2.06,1.04,6.61,0.76,$3.15 ,"54,438"
DSKE,Daseke Inc,Transportation,40.84,204.11,2.22,0.12,0.1,-17.35,$3.16 ,"204,863"
DSPG,DSP Group Inc,Semiconductors,25.1,359.32,2.37,3.11,-5.27,-1.24,$15.62 ,"156,128"
DSSI,Diamond S Shipping Inc,Oil & Gas,92.71,690.12,0.58,1.54,4.05,-9,$17.06 ,"372,144"
DSX,Diana Shipping Inc,Transportation,38.16,285.77,0.48,1.32,20.19,2.74,$3.07 ,"348,152"
DTE,DTE Energy Co,Utilities - Regulated,99.77,"24,695.12",2.19,1.78,12.49,8.24,$128.55 ,"1,303,682"
DUK,Duke Energy Corp,Utilities - Regulated,86.63,"65,897.29",1.48,2.62,22,14.1,$90.39 ,"4,390,259"
DVA,DaVita Inc,Healthcare Providers & Services,56.86,"9,578.92",4.3,1.08,14.72,3.68,$74.77 ,"1,527,343"
DVN,Devon Energy Corp,Oil & Gas,14.04,"10,124.88",1.58,1.16,17.9,14.29,$26.36 ,"6,681,997"
DXC,DXC Technology Co,Software,65.57,"9,523.11",1.11,0.5,7.13,-6.04,$37.20 ,"4,439,785"
DXPE,DXP Enterprises Inc,Industrial Distribution,99.91,709.42,2.07,0.57,6.22,3.51,$40.30 ,"69,609"
DY,Dycom Industries Inc,Construction,21.69,"1,508.08",1.72,0.45,3.49,1.68,$47.84 ,"355,808"
DZSI,DASAN Zhone Solutions Inc,Hardware,29.43,186.07,1.65,0.53,-0.32,-1.26,$8.70 ,"113,027"
E,Eni SpA,Oil & Gas,1.92,"56,511.50",0.99,0.68,13.21,3.26,$31.10 ,"238,625"
EA,Electronic Arts Inc,Interactive Media,39.23,"31,682.63",4.43,6.42,22.34,54.01,$108.51 ,"2,743,453"
EB,Eventbrite Inc,Software,60.13,"1,734.48",4.13,5.16,-17.78,-21.24,$20.55 ,"785,253"
EBAY,eBay Inc,Retail - Cyclical,99.12,"29,490.27",9.07,2.99,21.95,18.33,$36.25 ,"7,544,491"
EBF,Ennis Inc,Industrial Products,93.07,571.91,1.88,1.32,11.73,8.77,$21.91 ,"103,319"
EBIX,Ebix Inc,Software,98.65,990.21,1.84,1.75,28.55,14.64,$32.47 ,"407,691"
EBS,Emergent BioSolutions Inc,Biotechnology,99.22,"2,799.53",2.71,2.77,4.69,0.41,$54.23 ,"326,606"
EC,Ecopetrol SA,Oil & Gas,3.41,"41,671.67",2.28,1.88,31.66,16.42,$20.27 ,"471,831"
ECA,Encana Corp,Oil & Gas,83.62,"6,034.44",0.62,0.73,26.32,16.9,$4.66 ,"21,292,769"
ECHO,Echo Global Logistics Inc,Transportation,87.15,569.36,1.45,0.24,1.93,0.91,$20.86 ,"195,235"
ECL,Ecolab Inc,Chemicals,98.25,"55,239.14",6.44,3.78,14.81,10.27,$191.64 ,"1,054,542"
ECOL,US Ecology Inc,Waste Management,99.91,"1,255.52",3.27,2.06,13.74,8.22,$56.86 ,"205,842"
ECOM,ChannelAdvisor Corp,Software,98.78,253.67,2.76,1.96,-1.01,-1.02,$9.04 ,"136,240"
ECPG,Encore Capital Group Inc,Banks,91.42,"1,133.34",1.24,0.81,32.87,12.29,$36.49 ,"261,404"
ED,Consolidated Edison Inc,Utilities - Regulated,89.41,"29,802.38",1.67,2.26,19.85,10.84,$89.65 ,"1,524,529"
EDAP,Edap TMS SA,Medical Devices & Instruments,17.3,129.05,4.35,1.84,8.24,8.62,$4.45 ,"164,761"
EDN,Empresa Distribuidora y Comercializadora Norte SA,Utilities - Regulated,9.22,308,0.36,0.38,-0.25,15.91,$7.04 ,"113,713"
EDU,New Oriental Education & Technology Group Inc,Education,98.9,"19,803.75",7.91,6,11.75,9.79,$125 ,"804,112"
EE,El Paso Electric Co,Utilities - Regulated,8.51,"2,758.59",2.24,3.18,20.84,10.99,$67.72 ,"267,897"
EEFT,Euronet Worldwide Inc,Software,19.86,"8,579.63",5.96,3.26,16.49,11.1,$158.80 ,"338,870"
EEX,Emerald Expositions Events Inc,Media - Diversified,56.29,751.32,1.06,2.06,18.85,-19.25,$10.52 ,"122,278"
EFX,Equifax Inc,Business Services,99.11,"16,977.10",6.74,4.99,-9.79,-11.13,$140.21 ,"789,189"
EGAN,eGain Corp,Software,92.51,249.8,9.64,3.67,8.53,6.96,$8.18 ,"106,143"
EGHT,8x8 Inc,Software,93.73,"1,856.17",7.75,4.57,-31.68,-32.6,$18.52 ,"1,335,186"
EGLE,Eagle Bulk Shipping Inc,Transportation,98.03,366.27,0.74,1.13,6.49,-1.31,$4.78 ,"397,917"
EGO,Eldorado Gold Corp,Metals & Mining,59.57,"1,230.84",0.36,2.36,1.87,-44.51,$7.74 ,"2,287,611"
EGOV,NIC Inc,Software,96.49,"1,507.38",6.3,4.36,18.29,14.55,$22.51 ,"307,425"
EGRX,Eagle Pharmaceuticals Inc,Drug Manufacturers,99.85,821.93,4.67,4.2,17.22,12.71,$60.12 ,"146,255"
EGY,VAALCO Energy Inc,Oil & Gas,51.55,126.71,1.14,1.24,27.64,11.55,$2.17 ,"181,259"
EHC,Encompass Health Corp,Healthcare Providers & Services,97.23,"6,847.76",5.15,1.55,14.18,7.07,$69.45 ,"594,467"
EHTH,eHealth Inc,Insurance,88.7,"2,215.33",5.12,6.62,6.19,1.22,$95.91 ,"604,417"
EIGI,Endurance International Group Holdings Inc,Software,99.93,674.92,3.79,0.6,11.24,-0.82,$4.61 ,"381,503"
EIX,Edison International,Utilities - Regulated,97.3,"27,020.59",2.06,2.03,18.57,-1.36,$75.35 ,"2,769,736"
ELAN,Elanco Animal Health Inc,Drug Manufacturers,35.93,"10,876.80",1.98,3.49,12.59,3.04,$29.16 ,"3,803,833"
ELF,e.l.f. Beauty Inc,Consumer Packaged Goods,96.92,786.99,3.39,2.87,9.64,0.73,$15.74 ,"763,663"
ELP,Cia Paranaense De Energia Copel,Utilities - Regulated,13.33,"4,515.39",1.05,1.17,19.43,11.56,$16.50 ,"511,452"
ELVT,Elevate Credit Inc,Credit Services,55.09,195.18,1.34,0.26,14.75,3.65,$4.42 ,"102,864"
ELY,Callaway Golf Co,Travel & Leisure,98.09,"1,975.28",2.53,1.29,7.18,5.1,$20.99 ,"855,002"
EME,EMCOR Group Inc,Construction,94.56,"4,916.21",2.48,0.55,5.04,3.51,$87.55 ,"258,930"
EMN,Eastman Chemical Co,Chemicals,69.73,"10,723.34",1.76,1.16,13.64,8.12,$78.86 ,"1,054,701"
EMR,Emerson Electric Co,Industrial Products,99.35,"46,838.72",5.73,2.59,16.98,12.55,$76.67 ,"2,990,411"
ENB,Enbridge Inc,Oil & Gas,79.33,"80,383.07",1.72,2.09,16.51,12.27,$39.67 ,"3,236,508"
ENBL,Enable Midstream Partners LP,Oil & Gas,23.54,"4,603.89",0.62,1.43,22.62,17.36,$10.58 ,"1,135,638"
ENIA,Enel Americas SA,Utilities - Regulated,11.58,"8,051.49",1.76,1.13,23.1,11.67,$10.99 ,"1,634,115"
ENIC,Enel Chile SA,Utilities - Regulated,4.3,"6,598.48",1.43,1.89,34,13.73,$4.77 ,"541,416"
ENLC,EnLink Midstream LLC,Oil & Gas,62.48,"3,047.58",0.97,0.28,5.87,-3.5,$6.25 ,"4,921,742"
ENR,Energizer Holdings Inc,Industrial Products,41.12,"3,523.04",6.44,1.38,11.42,2.05,$50.88 ,"969,434"
ENS,EnerSys,Industrial Products,2.74,"3,203.14",2.44,1.08,8.51,5.91,$75.75 ,"225,261"
ENSG,Ensign Group Inc,Healthcare Providers & Services,87.06,"2,360.90",3.43,1.1,6.59,4.84,$44.25 ,"251,612"
ENTA,Enanta Pharmaceuticals Inc,Biotechnology,99.55,"1,253.55",2.71,6.48,17.9,22.6,$63.55 ,"180,308"
ENTG,Entegris Inc,Semiconductors,93.79,"6,882.66",6.15,4.48,14.47,17.77,$51.03 ,"696,580"
ENV,Envestnet Inc,Software,85,"3,739.24",4.33,4.11,-2.02,-2.32,$71.26 ,"396,395"
ENVA,Enova International Inc,Credit Services,90.4,800.69,1.86,0.69,17.39,7.85,$23.71 ,"267,301"
ENZ,Enzo Biochem Inc,Medical Diagnostics & Research,85.7,128.39,1.63,1.59,-36.72,1.03,$2.70 ,"81,661"
EOG,EOG Resources Inc,Oil & Gas,83.74,"48,664.57",2.33,2.78,24.92,17.13,$83.65 ,"4,155,597"
EPAC,Actuant Corp,Industrial Products,98.43,"1,592.94",4.55,3.21,12.17,-45.11,$26.57 ,"446,723"
EPAM,EPAM Systems Inc,Software,99.99,"11,869.01",7.96,5.72,13.68,11.38,$215.86 ,"301,806"
EPAY,Bottomline Technologies Inc,Software,97.13,"2,359.20",5.93,5.23,0.91,2.1,$53.66 ,"306,855"
EPC,Edgewell Personal Care Co,Consumer Packaged Goods,95.73,"1,684.92",1.29,0.77,13.55,-17.38,$31.03 ,"558,514"
EPD,Enterprise Products Partners LP,Oil & Gas,44.19,"62,413.23",2.54,1.85,16.9,14.08,$28.51 ,"5,841,407"
EPM,Evolution Petroleum Corp,Oil & Gas,95.5,186.08,2.37,4.67,37.22,30.88,$5.65 ,"109,949"
EPR,EPR Properties,REITs,57.44,"5,480.33",1.79,7.67,58.24,31.81,$69.85 ,"554,678"
EQIX,Equinix Inc,REITs,76.11,"49,419.95",5.64,8.85,21.11,9.03,$579.51 ,"428,010"
EQM,EQM Midstream Partners LP,Oil & Gas,45.45,"6,005.91",1.06,2.97,65.33,22.51,$28.95 ,"1,084,996"
EQNR,Equinor ASA,Oil & Gas,7.14,"65,769.70",1.62,0.98,20.2,7.67,$19.90 ,"2,200,683"
EQT,EQT Corp,Oil & Gas,87.1,"2,732.83",0.25,0.57,19.84,-14.11,$10.69 ,"6,334,099"
EQX,Equinox Gold Corp,Metals & Mining,6.42,875.04,2.13,4.39,15.76,-8.51,$7.68 ,"308,960"
ERA,Era Group Inc,Oil & Gas,10.68,220.34,0.48,1.01,-3.9,-4,$10.35 ,"92,111"
ERF,Enerplus Corp,Oil & Gas,84.73,"1,575.82",1.08,1.49,22.9,28.13,$7.11 ,"1,355,422"
ERI,Eldorado Resorts Inc,Travel & Leisure,87.88,"4,593.08",4.06,1.8,17.34,3.61,$59.06 ,"1,283,037"
ERIC,Telefonaktiebolaget L M Ericsson,Hardware,9.2,"28,910.44",3.68,1.28,0.7,-3.9,$8.88 ,"4,566,466"
ERII,Energy Recovery Inc,Industrial Products,48.93,550.05,4.11,6.53,14.91,16.37,$9.98 ,"211,381"
ERJ,Embraer SA,Aerospace & Defense,54.96,"3,570.76",0.97,0.8,1.7,-2.39,$19.42 ,"790,006"
ES,Eversource Energy,Utilities - Regulated,92.89,"27,293.09",2.24,3.17,21.09,10.46,$84.30 ,"1,942,687"
ESCA,Escalade Inc,Travel & Leisure,38.77,138.53,1.12,0.75,5.84,4.48,$9.71 ,"12,282"
ESE,ESCO Technologies Inc,Hardware,70.02,"2,381.45",2.87,2.93,13.88,9.97,$91.66 ,"140,959"
ESI,Element Solutions Inc,Chemicals,99.84,"2,917.77",1.38,1.67,12.81,2.85,$11.62 ,"2,837,902"
ESLT,Elbit Systems Ltd,Aerospace & Defense,19.64,"7,012.62",3.24,1.62,6.96,4.16,$158.10 ,"11,343"
ESRT,Empire State Realty Trust Inc,REITs,28.38,"4,997.38",4.08,5.6,22.57,7.67,$13.84 ,"944,339"
ESTE,Earthstone Energy Inc,Oil & Gas,28.58,423.54,1.24,1.16,25.39,23.82,$6.56 ,"193,151"
ET,Energy Transfer LP,Oil & Gas,64.21,"35,275.62",1.64,0.64,13.85,5.91,$13.14 ,"19,327,862"
ETH,Ethan Allen Interiors Inc,"Furnishings, Fixtures & Appliances",7.03,502.26,1.36,0.68,6.59,4.23,$18.89 ,"221,890"
ETM,Entercom Communications Corp,Media - Diversified,37.21,648.22,0.48,0.46,18.12,-21.49,$4.84 ,"1,176,738"
ETN,Eaton Corp PLC,Industrial Products,99.74,"39,289.54",2.47,1.86,13.8,11.06,$95.04 ,"2,305,495"
ETR,Entergy Corp,Utilities - Regulated,16.69,"23,796.68",2.38,2.12,13.15,7.38,$119.52 ,"1,619,600"
ETRN,Equitrans Midstream Corp,Oil & Gas,98.86,"3,316.76",2.9,2.09,61.41,1.06,$13.02 ,"3,687,400"
EURN,Euronav NV,Oil & Gas,53.18,"2,613.15",1.21,3.28,5.57,-5.18,$12.30 ,"1,655,819"
EV,Eaton Vance Corp,Asset Management,99.38,"5,396.69",4.55,3.2,30.94,23.77,$47.52 ,"613,065"
EVA,Enviva Partners LP,Forest Products,77.02,"1,243.58",4.15,1.74,6.51,0.85,$37.17 ,"58,415"
EVC,Entravision Communications Corp,Media - Diversified,82.41,224.04,0.79,0.81,12.62,-7.08,$2.65 ,"261,434"
EVH,Evolent Health Inc,Healthcare Providers & Services,98.06,740.34,0.65,0.87,-14.69,-15.01,$8.75 ,"1,715,019"
EVI,EVI Industries Inc,Industrial Distribution,33.41,369.31,4.09,1.43,2.85,1.47,$29.19 ,"33,889"
EVRG,Evergy Inc,Utilities - Regulated,99.49,"14,597.20",1.7,3.05,22.43,11.97,$64.05 ,"2,285,111"
EVTC,Evertec Inc,Software,87.34,"2,409.53",9.84,5.17,28.94,20.62,$33.50 ,"396,603"
EXC,Exelon Corp,Utilities - Regulated,98.04,"44,055.97",1.38,1.26,11.75,6.63,$45.32 ,"6,749,581"
